#f     U0     UC      a       U
 5000   3.28    3.36    2.00  1.02
10000   3.28    3.60    2.00  1.10
15000   3.28    4.00    2.00  1.22
20000   3.28    4.80    2.00  1.46
25000   3.28    6.48    2.40  1.98
27000   3.20    7.80    2.60  2.44
28000   3.28    8.40    3.20  2.56
29000   3.28    9.20    3.40  2.80
30000   3.28    10.2    3.60  3.11
31000   3.28    11.0    4.60  3.35
32000   3.28    11.8    6.20  3.60
33000   3.28    12.2    6.60  3.72
34000   3.28    12.2    7.60  3.72
35000   3.28    11.4    8.40  3.48
36000   3.28    10.4    9.40  3.17
37000   3.28    9.40    9.80  2.87
38000   3.28    8.20    9.80  2.50
39000   3.28    7.20    9.80  2.20
40000   3.28    6.40    10.20 1.95
45000   3.28    4.00    10.40 1.22
50000   3.28    2.56    9.80  0.78
55000   3.28    1.84    9.60  0.56
60000   3.24    1.44    8.00  0.44
