#f     U0     UC      a       U     phi
27000   3.20    7.80    2.60  2.44  0.44
28000   3.28    8.40    3.20  2.56  0.56
29000   3.28    9.20    3.40  2.80  0.62
30000   3.28    10.2    3.60  3.11  0.68
31000   3.28    11.0    4.60  3.35  0.90
32000   3.28    11.8    6.20  3.60  1.25
33000   3.28    12.2    6.60  3.72  1.37
34000   3.28    12.2    7.60  3.72  1.62
35000   3.28    11.4    8.40  3.48  1.85
36000   3.28    10.4    9.40  3.17  2.13
37000   3.28    9.40    9.80  2.87  2.28
38000   3.28    8.20    9.80  2.50  2.34
39000   3.28    7.20    9.80  2.20  2.40
40000   3.28    6.40    10.20 1.95  2.56
