#A        I
19.1      0.28
19.6      0.16
19.9      0.08
20.2      0.04
20.5      0.05
20.8      0.10
21.1      0.22
21.3      0.59
21.5      0.94
21.7      1.30
21.9      1.60
22.1      1.75
22.3      1.65
22.5      1.35
22.7      0.97
22.9      0.64
23.1      0.72
23.3      1.20
23.4      1.75
23.5      2.30
23.6      2.90
23.7      3.70
23.8      4.50
23.9      5.20
24.0      5.90
24.1      6.20
24.2      6.60
24.3      6.60
24.4      6.60
24.5      6.40
24.6      5.90
24.7      5.30
24.8      4.60
24.9      3.80
25.0      3.00
25.1      2.30
25.2      1.60
25.4      0.90
25.6      0.60
25.8      0.71
26.0      1.05
26.2      1.45
26.4      1.75
26.6      1.75
26.8      1.55
27.0      1.20
27.2      0.85
27.4      0.60
27.6      0.34
27.8      0.18
28.0      0.10
28.2      0.09
28.4      0.088
28.6      0.10
28.8      0.145
29.0      0.200
29.2      0.245
29.4      0.27
