#A        I
13.2      0.018
13.7      0.018
14.2      0.016
14.7      0.014
15.7      0.008
16.2      0.006
16.7      0.006
17.2      0.008
17.4      0.010
17.6      0.012
17.8      0.015
18.0      0.019
18.2      0.024
18.4      0.028
18.6      0.035
18.8      0.042
19.0      0.050
19.2      0.059
19.4      0.067
19.6      0.078
20.0      0.090
20.4      0.125
20.8      0.150
21.2      0.180
21.6      0.205
22.0      0.285
22.4      0.260
22.8      0.280
23.2      0.280
23.6      0.300
24.0      0.300
24.4      0.310
24.8      0.300
25.2      0.290
25.6      0.280
26.0      0.260
26.4      0.240
26.8      0.220
27.2      0.200
27.6      0.170
28.0      0.140
28.4      0.120
28.8      0.100
29.2      0.070
29.6      0.050
30.0      0.050
30.4      0.035
30.8      0.020
31.2      0.016
31.6      0.010
32.0      0.006
32.5      0.004
33.0      0.004
33.5      0.005
34.0      0.008
34.5      0.010
35.0      0.012
35.5      0.013
36.0      0.013
36.5      0.012
