Zählrohrwinkel	Rate bei 35kV
2*theta/°	R(35kV)/Imp/s

8,0	40,0
8,4	39,0
8,8	35,0
9,2	40,0
9,6	48,0
10,0	66,0
10,4	92,0
10,8	124,0
11,2	150,0
11,6	160,0
12,0	192,0
12,4	213,0
12,8	240,0
13,2	247,0
13,6	265,0
14,0	286,0
14,4	295,0
14,8	314,0
15,2	320,0
15,6	334,0
16,0	352,0
16,4	359,0
16,7	373,0
17,2	377,0
17,6	375,0
18,0	390,0
18,4	406,0
18,8	399,0
19,2	414,0
19,6	440,0
20,0	416,0
20,4	421,0
20,8	432,0
21,2	421,0
21,6	443,0
22,0	436,0
22,4	431,0
22,8	430,0
23,2	409,0
23,6	416,0
24,0	404,0
24,4	390,0
24,8	410,0
25,2	397,0
25,6	382,0
26,0	349,0
26,4	349,0
26,8	301,0
27,2	284,0
27,6	296,0
28,0	292,0
28,4	269,0
28,8	267,0
29,2	270,0
29,6	261,0
30,0	258,0
30,4	248,0
30,8	241,0
31,2	244,0
31,6	249,0
32,0	231,0
32,4	218,0
32,8	215,0
33,2	207,0
33,6	218,0
34,0	209,0
34,4	203,0
34,8	200,0
35,2	200,0
35,5	185,0
36,0	187,0
36,4	172,0
36,8	170,0
37,2	169,0
37,5	170,0
38,0	155,0
38,4	156,0
38,8	147,0
39,2	150,0
39,5	359,0
40,0	1312,0
40,4	1624,0
40,8	334,0
41,2	209,0
41,5	181,0
42,0	177,0
42,4	175,0
42,8	169,0
43,2	176,0
43,6	210,0
44,0	380,0
44,4	4272,0
44,8	4278,0
45,2	3722,0
45,5	261,0
46,0	145,0
46,4	129,0
46,8	126,0
47,2	115,0
47,6	114,0
48,0	100,0
48,4	91,0
48,8	94,0
49,2	78,0
49,6	85,0
50,0	83,0
50,4	74,0
50,8	73,0
51,2	77,0
51,6	68,0
52,0	75,0
