#U/V	A/1/s	I/mikroA
300	0	0
310	16104	0
320	16789	0.5
330	16869	1
340	16774	1
350	17052	1.2
360	16952	1.4
370	17137	1.6
380	17248	1.9
390	17137	2
400	17237	2.1
410	17092	2.3
420	17377	2.4
430	17272	2.6
440	17092	2.9
450	17510	3
460	17521	3
470	17576	3.2
480	17418	3.5
490	17401	3.7
500	17547	4
510	17465	4
520	17400	4.2
530	17347	4.4
540	17485	4.5
550	17601	4.7
560	17659	5
570	17465	5.2
580	17750	5.4
590	17782	5.6
600	17732	5.9
610	17823	6
620	18170	6.2
630	18016	6.5
640	17992	6.7
650	18008	7
660	18123	7
670	18441	7.2
680	18425	7.3
690	18241	7.5
700	18646	7.7
